date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MzWarMarszal,PdBialWaszyn,PmGdaLeczk08,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczAndr01
160311,00:00,35.1755,23.0,29.0967,28.9664,17.0,5.05111,21.6621,13.1411,26.53,
160311,08:00,34.0049,20.0,28.8708,15.6032,13.0,6.27,19.5888,13.9258,26.1,12.2744
160311,16:00,,12.0,45.0859,18.6308,12.0,4.32028,30.1976,18.1669,23.61,13.7125
160312,00:00,29.7385,23.0,28.006,28.862,15.0,5.29306,25.8254,28.7498,20.8,19.4357
160312,08:00,25.1858,21.0,22.6143,23.8508,14.0,4.76333,19.9232,18.4419,12.0,7.9366
160312,16:00,20.8734,29.0,22.6507,27.9224,17.0,5.09,21.3946,17.0472,23.61,14.2704
160313,00:00,43.0766,22.0,22.9553,29.6972,20.0,5.08278,23.9109,32.8333,,29.0783
160313,08:00,25.7073,7.0,18.2202,14.9768,16.0,9.76444,21.1939,17.9555,,4.41159
160313,16:00,31.2796,10.0,25.0237,18.7352,13.0,9.00028,16.1445,7.09954,12.9,13.5162
160314,00:00,39.6351,52.0,31.7229,29.4884,19.0,11.5364,48.7986,60.9634,31.96,34.7073
160314,08:00,39.311,51.0,39.0668,51.6212,62.0,8.82028,52.9619,39.8976,23.36,18.0865
160314,16:00,24.4968,,20.8466,41.1812,23.0,10.7433,21.6788,20.2512,,33.5108
160315,00:00,28.6966,,52.7241,21.7628,18.0,3.72361,36.2921,3.43439,31.8,37.3289
160315,08:00,25.2752,9.0,24.3814,16.4384,8.0,5.93833,15.8017,2.12436,16.7,10.5253
160315,16:00,18.983,21.0,33.2233,22.4936,4.0,8.33167,51.9253,8.79368,13.56,3.10522
160316,00:00,30.6322,28.0,27.8799,18.6308,17.0,7.26694,20.1489,18.4526,25.7,14.1445
160316,08:00,25.989,26.0,33.3722,28.862,27.0,35.0614,24.7804,24.4544,25.6,24.9004
160316,16:00,17.3961,21.0,32.6159,27.6092,18.0,9.41889,28.0658,8.72687,16.4826,12.1905
160317,00:00,120.205,59.0,121.666,31.472,20.0,6.87222,96.6262,71.7263,54.08,63.4227
160317,08:00,125.674,69.0,128.819,43.8956,26.0,10.6281,184.824,23.7522,166.76,32.7458
160317,16:00,29.0052,16.0,45.8006,25.8344,27.0,8.87306,55.1021,24.2954,49.9886,17.2764
160318,00:00,83.1868,66.0,132.337,28.4444,37.0,5.90806,126.304,21.5639,44.94,23.2687
160318,08:00,38.8613,39.0,107.132,34.8128,32.0,5.25694,96.459,,45.47,11.347
160318,16:00,24.4415,43.0,29.9066,15.6032,9.0,1.52556,21.0769,7.45935,24.9144,12.5124
160319,00:00,28.4464,5.0,41.4427,10.07,5.0,5.25472,29.8214,3.36093,17.84,19.6124
160319,08:00,13.8026,10.0,8.59369,8.0864,16.0,8.55528,8.13978,8.28062,13.63,16.3117
160319,16:00,8.64803,6.0,8.031,8.7128,10.0,8.4325,18.6692,5.26424,9.95767,14.6709
160320,00:00,51.0047,33.0,71.4385,26.8784,24.0,5.00806,69.5732,11.3376,43.47,25.8486
160320,08:00,25.0745,21.0,64.1497,30.1148,18.0,7.35667,32.7827,10.016,21.44,12.3036
160320,16:00,15.7025,33.0,36.4531,26.774,16.0,10.1894,20.1251,8.45889,19.0939,6.34417
160321,00:00,18.7644,21.0,35.9253,29.0708,24.0,3.86667,46.4379,20.9332,16.88,21.5623
160321,08:00,11.9712,23.0,29.2337,33.9776,22.0,6.91778,20.0625,10.719,24.5,15.2168
160321,16:00,14.0732,17.0,31.7226,27.296,8.0,4.47167,9.86542,9.28158,21.2354,6.35678
160322,00:00,16.5301,15.0,50.599,22.4936,25.0,6.5675,25.5113,18.8371,15.16,8.08109
160322,08:00,15.702,5.0,30.7808,21.1364,19.0,5.7175,20.3927,7.17319,9.77,6.86074
160322,16:00,18.8642,10.0,20.7647,14.1416,8.0,2.98389,16.4665,4.61683,11.1,9.35204
160323,00:00,32.1526,28.0,69.0007,18.422,11.0,16.6711,60.756,31.7641,20.76,58.809
160323,08:00,33.3155,33.0,28.9501,26.8784,8.0,6.65028,43.1253,49.4875,44.85,26.1511
160323,16:00,17.4107,11.0,39.9884,15.6032,16.0,7.38778,35.5988,3.57188,38.5692,13.6847
160324,00:00,27.8226,24.0,48.1011,28.34,34.0,21.0522,130.406,17.9668,30.57,19.1382
160324,08:00,36.0624,30.0,35.1942,24.4772,12.0,20.1928,46.6905,22.8672,40.6,24.641
160324,16:00,26.7127,17.0,14.3856,20.6144,10.0,23.0258,11.2981,13.4466,31.0369,10.1685
160325,00:00,46.7057,98.0,92.2649,52.6652,73.0,43.1642,117.037,20.6404,44.54,22.7737
160325,08:00,68.1589,68.0,97.693,79.496,103.0,12.7092,72.5062,33.2158,60.55,25.5442
160325,16:00,35.5764,20.0,29.4901,33.6644,28.0,9.615,16.3917,23.6795,39.5245,46.1365
160326,00:00,52.9467,77.0,73.2944,61.1216,36.0,18.62,68.6296,27.396,54.27,13.0678
160326,08:00,23.8678,28.0,65.4973,58.4072,35.0,5.50028,31.971,38.167,30.5,7.54989
160326,16:00,,11.0,20.5675,39.5108,48.0,7.78028,22.3589,18.3726,11.1954,4.63314
160327,00:00,118.234,35.0,63.4528,63.6272,62.0,8.99667,75.4384,31.071,,27.2028
160327,08:00,55.9259,40.0,63.5863,61.8524,78.0,10.5706,57.6222,27.4914,34.7,26.3293
160327,16:00,10.4907,18.0,19.5862,21.2408,22.0,10.7094,15.1994,31.0057,18.2172,13.0619
160328,00:00,24.3344,,54.0404,37.6316,68.0,20.0264,38.6363,19.1023,31.04,7.1444
160328,08:00,21.621,,52.187,41.39,34.0,25.3719,20.2402,24.7068,36.81,14.4044
160328,16:00,16.002,,13.9382,,22.0,14.6694,10.6488,15.8476,10.9574,1.26749
160329,00:00,23.8013,,59.1819,,43.0,21.9292,27.9782,21.4415,20.77,3.03958
160329,08:00,7.45377,33.0,57.8168,,42.0,20.715,15.9992,24.7027,19.11,5.55016
160329,16:00,7.48648,5.0,8.48272,11.2184,42.0,2.69361,8.69121,19.7988,17.4082,2.9652
160330,00:00,21.7314,5.0,27.6261,14.5592,16.0,5.55722,33.0147,7.04631,14.52,3.55072
