date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWarsza,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczLacz04
16/01/27,08:00,35.7376,30.432,94.338,5.9599,41.4944,35.0,30.5729,10.1122,27.5121,29.0974,22.4,11.2546
16/01/27,16:00,39.9886,46.916,98.5077,13.8749,31.2632,14.6,26.5065,7.40119,31.8031,29.3681,26.5171,12.7298
16/01/28,00:00,20.9896,40.576,96.2685,4.09416,29.0708,33.6,18.8447,1.56283,22.0,21.509,25.4812,7.36778
16/01/28,08:00,32.7949,17.752,85.3293,11.9316,21.8672,23.4,16.0037,1.60461,18.6261,12.6693,11.593,9.00468
16/01/28,16:00,66.521,21.556,13.4726,17.1216,17.7956,7.2,22.8506,16.1217,28.7222,5.72875,15.1791,36.1783
16/01/29,00:00,34.3927,51.988,90.6885,32.9999,25.1036,12.0,18.8718,13.7704,51.0495,11.8079,26.2,20.7969
16/01/29,08:00,58.5023,51.988,120.398,19.1612,37.6316,16.3,41.5333,13.0922,129.028,18.5208,29.9523,18.8485
16/01/29,16:00,43.9966,51.988,69.3862,22.8172,38.8844,29.3,30.726,2.81592,31.9512,27.6337,31.3097,15.1454
16/01/30,00:00,25.8892,29.164,113.517,41.363,27.5048,19.4,27.0645,3.49614,23.7468,18.6093,20.7237,17.079
16/01/30,08:00,20.2666,13.948,39.8355,79.1429,18.8396,17.5,17.2652,3.45383,18.5608,13.5763,10.7284,13.8141
16/01/30,16:00,24.2628,45.648,40.4411,21.8205,33.7688,15.5,18.6983,1.0,21.2151,16.2656,15.1997,7.09358
16/01/31,00:00,13.5073,10.144,40.9196,18.6279,30.3236,30.8,14.4237,1.54603,44.9193,12.6857,12.7694,6.64696
16/01/31,08:00,19.8585,20.288,4.18977,6.71938,11.7404,5.3,22.1912,10.9844,15.3844,8.47417,7.76592,11.3139
16/01/31,16:00,20.4761,21.556,33.6235,15.4292,22.2848,0.0,16.9388,7.20014,20.862,12.3407,,13.2371
16/02/01,00:00,23.3616,22.824,49.7841,6.91861,18.6308,20.8,19.024,4.24456,27.6197,10.4576,18.652,23.0118
16/02/01,08:00,19.4495,12.68,31.3841,5.24309,22.7024,14.4,13.0961,5.55622,21.9302,7.02542,11.3,10.1606
16/02/01,16:00,34.3452,45.648,47.2001,11.305,33.038,15.5,11.7369,4.39375,31.2445,19.4267,18.2201,15.026
16/02/02,00:00,18.9135,1.268,90.6831,3.21519,27.6092,25.1,11.287,6.82675,23.2081,18.0039,15.897,12.031
16/02/02,08:00,24.3468,7.608,35.9307,6.49838,14.0372,11.0,17.0541,11.5913,21.6793,6.01236,8.02042,12.0267
16/02/02,16:00,30.6696,10.144,36.7591,44.5437,21.554,16.6,14.3991,3.55881,16.8224,10.8888,23.6265,20.054
16/02/03,00:00,12.3011,5.072,23.4468,5.98731,10.3832,9.5,20.5478,12.8194,12.06,6.76056,15.9557,7.26795
16/02/03,08:00,24.2917,15.216,10.4323,3.0,13.8284,5.4,12.2287,9.55736,17.3874,7.44445,11.376,17.5242
16/02/03,16:00,52.2488,24.092,42.0879,12.6654,26.1476,15.9,21.1735,11.5647,26.3523,12.4446,36.1407,16.3588
16/02/04,00:00,26.0722,,56.5631,18.3631,24.4772,17.7,40.615,6.38553,47.1208,8.32833,42.0938,13.3205
