date,time,DsWrocWybCon,LdLodzGdansk,MpKrakBujaka,MpKrakBulwar,MpZakopaSien,MzWarKondrat,MzWarWokalna,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoKossut,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160206,16:00,3.83286,17.5,5.91423,4.81603,20.7245,7.2,6.425135,5.4,4.00442,2.23326,4.84222,3.05655,1.9936,5.99165
160207,00:00,2.93792,13.0,8.17305,3.38258,58.958,5.4,6.026313,5.7,3.93926,11.6226,16.6711,5.10648,1.19484,6.28721
160207,08:00,2.56271,6.0,4.28274,6.18445,25.7124,5.6,3.527491,5.1,14.2699,8.0628,22.2383,4.45434,0.52316,8.07901
160207,16:00,5.32199,16.1,5.97038,7.66592,12.5183,13.8,12.828669,5.4,9.32519,34.446,7.18344,7.01816,2.76073,7.06378
160208,00:00,3.04828,10.5,8.24314,2.79443,7.4383,4.8,,6.7,11.7242,4.86313,6.78695,7.1322,2.63726,5.03553
160208,08:00,3.04573,7.2,15.7091,6.92777,19.0824,5.0,6.331024,6.3,4.37045,3.08888,14.864,3.99065,2.59174,5.78624
160208,16:00,2.86447,9.0,3.66936,3.36928,5.31422,6.4,8.532202,8.1,8.44878,7.28556,6.56282,4.49398,1.65812,7.66597
160209,00:00,2.25676,8.6,3.03126,6.77039,4.96927,3.5,6.53338,6.5,5.79059,5.26708,11.4509,4.2853,1.57357,9.87894
160209,08:00,1.44003,4.3,2.63392,6.65438,2.90522,,4.334558,4.1,2.01875,18.7098,7.22857,6.02496,1.23375,5.66358
160209,16:00,3.29244,9.7,2.05944,5.37019,1.70184,3.3,4.835736,3.6,3.64491,12.9273,11.5123,9.14668,1.47199,6.59089
160210,00:00,2.53482,7.5,2.10983,8.24004,1.37524,5.8,6.836914,4.1,8.08262,5.70562,9.04532,5.43596,0.87381,6.89383
160210,08:00,1.46638,5.8,3.45568,9.56487,2.41693,2.0,6.138091,4.8,11.1237,26.3014,11.2748,3.9084,0.39477,5.64881
160210,16:00,3.08376,14.0,2.91449,8.31762,5.38009,2.3,5.839269,6.0,6.09111,3.82074,18.3888,2.99022,0.63572,9.06912
160211,00:00,3.16514,10.9,5.43327,7.37554,4.88657,1.0,5.840447,3.9,6.58789,2.51046,13.2026,2.31071,3.93856,5.79289
160211,08:00,1.3905,4.7,6.26575,8.53412,8.4597,16.6,5.641625,2.4,9.62532,1.81865,10.9886,2.62941,0.34712,4.97789
160211,16:00,2.36046,6.9,10.5117,8.27403,4.79327,4.3,6.542803,2.3,14.3658,3.68927,10.254,4.17375,0.86435,8.06793
160212,00:00,2.43635,3.7,7.2528,8.44914,17.3539,10.8,4.143981,0.4,5.59701,2.04038,9.54981,,0.28241,4.80573
160212,08:00,3.41919,8.0,9.04863,6.21031,41.0014,4.7,5.445159,1.9,4.54703,1.52404,19.8083,,0.62133,4.36979
160212,16:00,3.87109,18.9,4.24275,6.09726,6.7771,4.6,5.746336,2.6,4.56452,1.71568,9.31861,6.41905,2.09481,8.95607
160213,00:00,2.47561,,,12.9106,20.3403,2.3,,1.9,2.4899,1.74984,17.6638,3.71023,3.00277,5.80841
160213,08:00,3.67171,,6.42026,13.1862,17.4089,2.1,4.848692,4.2,3.01679,1.85815,22.3699,3.65778,1.18255,5.5062
160213,16:00,4.07191,,18.3385,15.5211,16.2178,3.4,6.24987,4.7,8.4806,3.95406,19.218,3.69073,3.65919,7.23816
160214,00:00,4.57362,,18.0673,14.2265,28.0783,2.4,9.351048,4.7,5.35139,2.1834,37.2295,5.29607,1.77713,6.23548
160214,08:00,2.52791,9.4,8.82262,11.5902,22.1887,5.2,9.052226,4.0,8.51739,1.65476,21.9816,2.56558,1.57693,5.85348
160214,16:00,5.90356,22.8,3.70335,10.3658,8.8363,7.4,8.953404,3.9,4.98558,2.02086,13.7011,6.58109,2.30269,6.84137
160215,00:00,9.19878,12.0,4.35031,9.02622,21.6625,5.0,7.454581,2.3,9.69626,1.87984,12.6189,10.262,3.72104,5.40128
160215,08:00,4.27981,10.3,6.60296,7.50632,28.102,4.1,17.155759,2.0,9.60361,1.47751,14.5296,3.28896,4.49324,4.71042
160215,16:00,6.76671,18.2,14.896,10.6303,16.2784,2.3,7.756937,2.0,5.93199,1.23835,20.5251,6.05796,2.33896,3.84444
160216,00:00,1.80209,7.5,9.02657,4.52712,14.5242,2.5,5.258115,0.4,5.94013,1.48676,18.9036,2.25981,1.02002,2.73463
160216,08:00,1.14977,3.0,11.557,5.29039,12.4203,1.7,2.659293,1.6,4.21453,2.33871,6.34238,1.84744,0.73756,2.04007
160216,16:00,1.57805,4.8,4.2927,3.85143,9.2812,2.1,1.160471,0.0,2.43236,2.45561,4.44193,1.62844,0.52309,4.15403
160217,00:00,5.46613,5.7,4.90745,2.19189,5.99136,1.7,2.561649,0.2,7.53972,2.85619,7.68202,1.33748,1.95205,3.65085
160217,08:00,2.85027,7.5,3.55929,3.3715,4.37213,2.2,1.462826,0.9,5.60409,4.19208,3.64905,3.24062,1.50224,3.33534
160217,16:00,2.36717,7.4,7.39416,11.9714,7.5108,1.7,1.664004,1.6,5.12855,4.85782,18.4686,2.87494,1.96516,4.10083
160218,00:00,8.28505,5.3,7.25,15.3777,7.1146,2.5,2.265182,3.6,2.86819,2.06603,20.156,10.3036,0.99203,4.28186
160218,08:00,4.98133,7.6,9.31081,7.61642,18.5501,2.8,4.26636,4.0,3.5512,12.534,14.682,2.9526,2.60827,5.17222
160218,16:00,4.13092,10.4,13.725,11.2385,7.3175,4.1,7.067538,5.6,9.0688,8.4681,30.734,4.79039,4.52834,12.4466
160219,00:00,2.92302,7.6,5.84612,5.2468,17.7509,2.0,4.468716,3.7,13.6066,2.66972,19.2468,2.69758,4.80337,5.61703
160219,08:00,1.70266,3.3,6.64563,5.85934,21.3294,1.6,4.569894,3.6,4.6619,3.15816,10.7275,1.98539,1.15936,5.57639
160219,16:00,3.11012,7.1,6.16404,4.73844,13.809,1.9,3.471071,4.2,8.005,2.5109,13.8439,2.11955,1.97834,10.7663
160220,00:00,4.87615,8.5,7.58981,4.62983,12.5488,1.4,2.572249,2.7,4.81973,2.14687,11.1343,1.94194,3.12627,9.70531
160220,08:00,4.03753,7.9,9.79704,4.14068,8.5752,9.6,3.873427,2.0,2.41643,1.66347,19.4865,2.29853,1.82036,3.44766
160220,16:00,3.92144,,4.85397,6.22287,5.5756,3.5,3.874605,2.4,6.9082,11.0189,14.4305,4.46526,3.28273,10.6326
160221,00:00,1.45124,4.5,9.42936,7.94005,44.2691,5.1,5.975783,4.4,6.08566,2.48921,7.91629,3.67648,0.50856,4.49466
160221,08:00,1.36322,3.7,3.42942,5.78619,19.5924,1.8,3.276961,5.1,2.3417,2.28415,7.86547,2.48788,0.60469,3.56588
