time,PdBialWaszynCO1g,PdHajnowkJagMOBCO1g,PkNiskoSzklaCO1g,PkRzeszRejtaCO1g,PmGdaLeczk08CO1g,PmGdaOstrz05CO1g,PmGdaPoWie01CO1g,PmGdaWyzwo03CO1g,PmGdyPoreb04CO1g,PmKosTargo12CO1g,PmLebMalcz16CO1g,PmLinieKos17CO1g,PmMalMicki15CO1g,PmSlupKniaziCO1g,PmSopBitPl06CO1g,PmStaGdaLubiCO1g,PmTczeTarg07CO1g,WmElbBazynskCO1g,WmGoldJacwieCO1g,WmOlsPuszkinCO1g,WmOstrChrobrCO1g,ZpSzczPils02CO1g
1/14/16 6:00,0.254,,0.25903,0.21736,0.24392,0.194263,0.281769,0.153814,0.201259,0.557197,0.182458,0.220289,,0.643818,0.19028,0.308,0.043638,0.120218,0.102202,0.263942,0.460056,0.38922
1/14/16 12:00,0.333,,0.28118,0.31835,0.412882,0.307767,0.357594,0.353927,,0.755472,0.741537,0.342152,,0.835519,0.249737,0.33,0.093899,0.226825,0.24099,0.370481,0.603962,0.5051
1/14/16 18:00,0.451,,0.54852,1.59527,0.744063,0.352972,0.665448,0.453039,0.638594,0.955601,1.03703,0.499116,,0.869579,0.593262,0.681,0.409104,0.639233,1.27315,0.700989,0.770982,0.99489
1/15/16 0:00,0.513,,1.26805,0.42601,0.824981,0.51939,0.743474,0.730541,0.900632,0.821546,1.19642,0.516855,,0.900624,0.752348,0.538,0.596599,0.544531,0.685549,0.533043,0.806477,0.53839
1/15/16 6:00,0.596,,0.45611,0.46439,0.725705,0.37696,0.842179,0.923759,0.779331,0.473582,0.502542,0.354529,,0.748979,0.917296,0.514,0.37048,0.512571,0.364705,0.512924,0.702749,0.42703
1/15/16 12:00,0.553,,0.4952,0.53549,0.653539,0.319711,0.518823,0.612885,1.56448,1.00302,1.52292,0.306806,,0.810588,0.959397,0.515,0.515258,0.362292,0.541572,0.65788,0.743723,0.45935
1/15/16 18:00,0.497,,0.86523,0.81336,0.632286,0.388834,0.639666,0.321038,0.647354,1.09733,1.62062,0.419018,1.32851,0.566637,0.414346,0.761,0.790143,0.379487,0.45351,0.499358,0.706021,0.7404
1/16/16 0:00,0.461,,0.7574,0.78921,0.396978,0.174379,0.267892,0.203729,0.327099,0.826419,0.380461,0.370453,0.662515,0.665613,0.236589,0.394,0.363244,0.281048,0.351009,0.426053,0.613831,0.66368
1/16/16 6:00,0.382,,0.43314,0.46171,0.229261,0.203069,0.262759,0.123801,0.377682,1.19951,0.954562,0.271813,0.992042,0.653468,0.182669,0.338,0.275729,0.117063,0.341068,0.392374,0.594182,0.33781
1/16/16 12:00,0.316,,0.37351,0.32758,0.411954,0.395625,0.308298,0.18095,0.480039,0.60352,0.876949,0.344217,0.926765,1.48733,0.275759,0.504,,0.469309,0.454616,0.492078,0.64186,0.83997
1/16/16 18:00,0.477,,0.53109,0.38155,0.619676,0.518487,0.481203,0.288314,0.633606,1.14109,0.705679,0.27728,0.845903,0.908085,0.545229,0.521,0.273801,1.44385,1.00021,0.839815,0.758449,0.59649
1/17/16 0:00,0.525,,0.81339,1.07701,0.617226,0.618263,0.6078,0.402596,0.543777,2.26535,1.01936,0.998523,0.872656,0.901545,0.592335,1.863,0.328769,0.457489,0.537142,1.11949,0.722694,0.6648
1/17/16 6:00,0.62,,1.57995,0.48467,0.351312,0.22804,0.272503,0.211572,0.320178,2.15231,0.762609,0.711252,1.29447,0.873885,0.309279,0.544,0.235813,0.604826,0.277396,0.428541,0.671677,0.58689
1/17/16 12:00,0.87,,0.76421,0.5643,0.43379,0.395747,0.356131,0.245048,,2.49039,1.19725,0.602462,0.973106,0.732921,0.344226,0.768,0.258842,0.452777,0.482722,0.427361,0.811125,0.88424
