date,time,DsWrocWybCon,LdLodzGdansk,MpKrakAlKras,MpZakopaSien,MzWarMarszal,PdBialWaszyn,PkRzeszRejta,PmGdaWyzwo03,SlKatoPlebA4,WmOlsPuszkin,WpPoznPolank,ZpSzczPils02
160125,08:00,0.412005,,1.93189,1.69297,0.675,0.413,0.88083,0.340111,0.45375,0.461772,0.49353,0.50437
160125,16:00,0.483404,0.987,0.77447,0.84273,0.741,0.663,0.66752,0.445061,1.18768,0.534653,0.7218,0.81481
160126,00:00,0.388554,1.338,0.84056,1.0082,0.861,0.62,0.80209,1.13486,0.96657,0.797021,0.80569,0.36658
160126,08:00,0.617631,1.233,2.04622,1.3314,0.842,0.49,2.12099,0.398757,1.01849,0.591352,0.47725,0.35643
160126,16:00,0.469133,0.617,1.37677,0.98065,0.597,0.689,0.72781,0.207416,1.31759,0.397118,0.50827,0.4946
160127,00:00,0.380404,0.732,1.34582,1.07333,0.657,0.391,0.58702,0.348048,0.46742,0.415289,0.46736,0.27548
160127,08:00,0.444159,0.564,3.03322,0.57749,0.538,0.551,0.7955,0.320112,0.65474,0.372658,0.44376,0.26389
160127,16:00,0.41014,0.893,1.01022,0.6995,0.467,0.543,0.76581,0.279392,0.82251,0.344387,0.48418,0.34539
160128,00:00,0.317565,0.585,2.51876,0.66173,0.466,0.47,0.58364,0.269797,0.26688,0.311218,0.40591,0.22572
160128,08:00,0.363998,0.447,0.75049,0.56101,0.4,0.493,0.77408,0.265852,0.37028,0.306674,0.40965,0.25591
160128,16:00,0.345028,0.417,0.51201,0.67744,0.365,0.368,0.7098,0.185854,0.38367,0.232706,0.33489,0.28928
160129,00:00,0.414958,0.603,1.23989,0.96364,0.345,0.291,0.34727,0.200499,1.01444,0.214933,0.50711,0.20485
160129,08:00,0.98374,0.759,1.84995,0.83765,0.545,0.368,1.24101,0.273823,1.64602,0.314761,0.4521,0.26544
160129,16:00,0.422432,0.552,0.57068,0.6684,0.449,0.413,0.43415,0.271587,0.73894,0.370188,0.40997,0.36092
160130,00:00,0.352745,0.456,1.30796,0.96091,0.384,0.385,0.53849,0.275358,0.49868,0.277843,0.37768,0.22427
160130,08:00,0.32505,0.356,1.09202,1.72426,0.27,0.36,0.54725,0.263954,0.37007,0.275481,0.35199,0.21169
160130,16:00,0.345227,0.553,0.55875,0.57885,0.502,0.408,0.50235,0.29879,0.36108,0.29833,0.3755,0.26417
160131,00:00,0.336234,0.508,0.43361,0.7636,0.43,0.525,0.40658,0.277213,0.55186,0.28229,0.40956,0.25666
160131,08:00,0.303063,0.281,0.25705,0.59867,0.317,0.33,0.38275,0.217759,0.13497,0.245414,0.35166,0.16789
160131,16:00,0.302625,0.406,0.46009,0.7002,0.42,0.347,0.31952,0.24056,0.3847,0.266722,0.39434,0.31526
160201,00:00,0.381652,0.452,0.62805,0.62824,0.34,0.359,0.4451,0.245537,0.26705,0.244708,0.38359,0.25401
160201,08:00,0.468598,0.407,1.34597,0.46148,0.367,0.472,0.57749,0.272015,0.38009,0.261931,0.44849,0.50892
160201,16:00,0.531712,0.731,1.25377,0.57614,0.417,0.55,0.3295,0.252458,1.00914,0.349935,0.51019,0.49784
160202,00:00,0.211023,0.399,1.09994,0.52344,0.442,0.299,0.33163,0.30616,0.30986,0.29197,0.42035,0.24449
160202,08:00,0.272972,0.356,0.66022,0.44132,0.351,0.327,0.54349,0.22716,0.20611,0.245168,,0.28324
160202,16:00,0.31646,0.465,0.60643,0.77466,0.445,0.437,0.46389,0.231339,0.36041,0.235744,0.43306,0.29978
160203,00:00,0.225604,0.335,0.32579,0.42351,0.362,0.295,0.39356,0.227466,0.25902,0.22642,0.36247,0.19712
160203,08:00,0.267702,0.307,0.47334,0.46346,0.348,0.369,0.46616,0.234556,0.3478,0.234521,0.40221,0.22866
160203,16:00,0.250089,0.354,0.51804,0.48102,0.385,0.364,0.44495,0.21156,1.00175,0.221949,0.43262,0.30719
160204,00:00,0.259631,,0.53386,0.56938,0.332,0.293,0.41906,0.2858,0.45385,0.220397,0.39572,0.21616
160204,08:00,0.290427,,0.58518,0.50292,0.348,0.396,0.3816,0.277769,0.60968,0.243459,0.45069,0.25403
160204,16:00,0.31977,0.366,0.84819,0.57127,0.421,0.389,0.32756,0.261619,0.9326,0.260497,0.49933,0.34737
160205,00:00,0.279674,0.458,0.50626,0.75767,0.448,0.345,0.48919,0.272453,0.45347,0.257314,0.51919,0.22597
160205,08:00,0.345832,0.387,0.87269,0.6902,0.362,0.361,0.43954,0.270202,0.32439,0.281663,0.47074,0.34108
160205,16:00,0.301934,0.422,0.90509,0.59519,0.378,0.339,0.35233,0.224665,0.92251,0.258969,0.44488,0.33836
160206,00:00,0.408883,0.877,1.03803,0.73654,0.515,0.306,0.7521,0.470945,0.6284,0.29619,0.45219,0.24661
